,budget,genres,id,popularity,release_date,revenue,runtime,title,vote_average,vote_count,collection_id,collection_name,release_year,returncon
0,30000000,"Animation, Comedy, Family",862,21.946943,1995-10-30,373554033,81.0,Toy Story,7.7,5415,10194.0,Toy Story Collection,1995,12.4518011
1,65000000,"Adventure, Fantasy, Family",8844,17.015539,1995-12-15,262797249,104.0,Jumanji,6.9,2413,,,1995,4.0430346
2,0,"Romance, Comedy",15602,11.7129,1995-12-22,0,101.0,Grumpier Old Men,6.5,92,119050.0,Grumpy Old Men Collection,1995,0.0
3,16000000,"Comedy, Drama, Romance",31357,3.859495,1995-12-22,81452156,127.0,Waiting to Exhale,6.1,34,,,1995,5.09075975
4,0,Comedy,11862,8.387519,1995-02-10,76578911,106.0,Father of the Bride Part II,5.7,173,96871.0,Father of the Bride Collection,1995,0.0
5,60000000,"Action, Crime, Drama, Thriller",949,17.924927,1995-12-15,187436818,170.0,Heat,7.7,1886,,,1995,3.123946966666667
6,58000000,"Comedy, Romance",11860,6.677277,1995-12-15,0,127.0,Sabrina,6.2,141,,,1995,0.0
7,0,"Action, Adventure, Drama, Family",45325,2.561161,1995-12-22,0,97.0,Tom and Huck,5.4,45,,,1995,0.0
8,35000000,"Action, Adventure, Thriller",9091,5.23158,1995-12-22,64350171,106.0,Sudden Death,5.5,174,,,1995,1.8385763142857143
9,58000000,"Adventure, Action, Thriller",710,14.686036,1995-11-16,352194034,130.0,GoldenEye,6.6,1194,645.0,James Bond Collection,1995,6.072310931034483
10,62000000,"Comedy, Drama, Romance",9087,6.318445,1995-11-17,107879496,106.0,The American President,6.5,199,,,1995,1.739991870967742
11,0,"Comedy, Horror",12110,5.430331,1995-12-22,0,88.0,Dracula: Dead and Loving It,5.7,210,,,1995,0.0
12,0,"Family, Animation, Adventure",21032,12.140733,1995-12-22,11348324,78.0,Balto,7.1,423,117693.0,Balto Collection,1995,0.0
13,44000000,"History, Drama",10858,5.092,1995-12-22,13681765,192.0,Nixon,7.1,72,,,1995,0.31094920454545455
14,98000000,"Action, Adventure",1408,7.284477,1995-12-22,10017322,119.0,Cutthroat Island,5.7,137,,,1995,0.10221757142857144
15,52000000,"Drama, Crime",524,10.137389,1995-11-22,116112375,178.0,Casino,7.8,1343,,,1995,2.2329302884615383
16,16500000,"Drama, Romance",4584,10.673167,1995-12-13,135000000,136.0,Sense and Sensibility,7.2,364,,,1995,8.181818181818182
17,4000000,"Crime, Comedy",5,9.026586,1995-12-09,4300000,98.0,Four Rooms,6.5,539,,,1995,1.075
18,30000000,"Crime, Comedy, Adventure",9273,8.205448,1995-11-10,212385533,90.0,Ace Ventura: When Nature Calls,6.1,1128,3167.0,Ace Ventura Collection,1995,7.079517766666667
19,60000000,"Action, Comedy, Crime",11517,7.337906,1995-11-21,35431113,103.0,Money Train,5.4,224,,,1995,0.59051855
20,30250000,"Comedy, Thriller, Crime",8012,12.669608,1995-10-20,115101622,105.0,Get Shorty,6.4,305,91698.0,Chili Palmer Collection,1995,3.805012297520661
21,0,"Drama, Thriller",1710,10.701801,1995-10-27,0,124.0,Copycat,6.5,199,,,1995,0.0
22,50000000,"Action, Adventure, Crime, Thriller",9691,11.065939,1995-10-06,30303072,132.0,Assassins,6.0,394,,,1995,0.60606144
23,0,"Drama, Fantasy, Science Fiction, Thriller",12665,12.133094,1995-10-27,0,111.0,Powder,6.3,143,,,1995,0.0
24,3600000,"Drama, Romance",451,10.332025,1995-10-27,49800000,112.0,Leaving Las Vegas,7.1,365,,,1995,13.833333333333334
25,0,Drama,16420,1.845899,1995-12-15,0,123.0,Othello,7.0,33,,,1995,0.0
26,12000000,"Comedy, Drama, Family",9263,8.681325,1995-10-20,27400000,100.0,Now and Then,6.6,91,,,1995,2.283333333333333
27,0,"Drama, Romance",17015,2.228434,1995-09-27,0,104.0,Persuasion,7.4,36,,,1995,0.0
28,18000000,"Fantasy, Science Fiction, Adventure",902,9.822423,1995-05-16,1738611,108.0,The City of Lost Children,7.6,308,,,1995,0.0965895
29,0,"Drama, Crime",37557,1.100915,1995-04-30,0,108.0,Shanghai Triad,6.5,17,,,1995,0.0
30,0,"Drama, Crime",9909,9.481338,1995-08-11,180000000,99.0,Dangerous Minds,6.4,249,,,1995,0.0
31,29500000,"Science Fiction, Thriller, Mystery",63,12.297305,1995-12-29,168840000,129.0,Twelve Monkeys,7.4,2470,,,1995,5.7233898305084745
32,0,"Romance, Adventure",78802,0.745542,1996-09-18,0,50.0,Wings of Courage,6.8,4,,,1996,0.0
33,30000000,"Fantasy, Drama, Comedy, Family",9598,14.404764,1995-07-18,254134910,89.0,Babe,6.0,756,9435.0,Babe Collection,1995,8.471163666666667
34,0,"History, Drama, Romance",47018,1.493361,1995-11-08,0,121.0,Carrington,6.4,16,,,1995,0.0
35,11000000,Drama,687,6.891317,1995-12-29,39363635,122.0,Dead Man Walking,7.3,350,,,1995,3.5785122727272727
36,0,"Adventure, History, Drama, Family",139405,0.114469,1995-10-20,0,51.0,Across the Sea of Time,3.5,2,,,1995,0.0
37,0,"Comedy, Family, Romance",33689,7.777735,1995-11-17,0,101.0,It Takes Two,6.1,149,,,1995,0.0
38,12000000,"Comedy, Drama, Romance",9603,9.882383,1995-07-19,0,97.0,Clueless,6.9,828,,,1995,0.0
39,0,Drama,34615,0.894647,1995-12-15,676525,106.0,"Cry, the Beloved Country",6.7,13,,,1995,0.0
40,0,"Drama, War",31174,4.561387,1995-12-29,0,104.0,Richard III,6.9,50,,,1995,0.0
41,10000000,"Action, Crime, Drama, History",11443,9.87957,1995-10-06,0,119.0,Dead Presidents,6.6,80,,,1995,0.0
42,19000000,"Drama, Romance",35196,10.979269,1995-12-29,0,117.0,Restoration,6.3,30,,,1995,0.0
43,18000000,"Action, Fantasy",9312,10.870138,1995-08-18,122195920,101.0,Mortal Kombat,5.4,452,9818.0,Mortal Kombat Collection,1995,6.788662222222222
44,20000000,"Fantasy, Drama, Comedy, Thriller",577,10.448481,1995-05-20,21284514,106.0,To Die For,6.7,177,,,1995,1.0642257
45,10000000,"Drama, Romance",11861,4.485958,1995-10-06,23574130,116.0,How To Make An American Quilt,6.5,38,,,1995,2.357413
